3/7/2024,,,,,,,
Symbol,Status,Trade Description,Order Type,Quantity,TIF,Order Time,Destination
,,,,,,,
SPLG,"FILLED AT
$60.375",Buy 1 Limit at $60.38  ,Limit at $60.38,1,Day+,"09:55:30 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.38",Buy 1 Limit at $60.39  ,Limit at $60.39,1,Day+,"10:06:56 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.435",Buy 1 Limit at $60.44  ,Limit at $60.44,1,Day+,"10:15:19 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.47",Sell 1 Limit at $60.47  ,Limit at $60.47,1,Day+,"11:17:58 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.465",Sell 1 Limit at $60.46  ,Limit at $60.46,1,Day+,"11:18:05 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.48",Sell 1 Limit at $60.48  ,Limit at $60.48,1,Day+,"11:19:23 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.48",Sell 1 Limit at $60.48  ,Limit at $60.48,1,Day+,"11:20:07 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.48",Sell 1 Limit at $60.48  ,Limit at $60.48,1,Day+,"11:20:31 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.48",Sell 1 Limit at $60.48  ,Limit at $60.48,1,Day+,"11:20:58 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.48",Sell 1 Limit at $60.48  ,Limit at $60.48,1,Day+,"11:21:21 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.49",Sell 1 Limit at $60.49  ,Limit at $60.49,1,Day+,"11:21:55 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.37",Buy 1 Limit at $60.37  ,Limit at $60.37,1,Day+,"10:01:59 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.50",Sell 1 Limit at $60.50  ,Limit at $60.50,1,Day+,"11:24:15 AM
03/07/2024",NYSE ARCA
SPLG,"FILLED AT
$60.51",Sell 1 Limit at $60.51  ,Limit at $60.51,1,Day+,"11:24:26 AM
03/07/2024",NYSE ARCA
