Run Date,Action,Symbol,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-43,60.16,,0.03,,2586.85,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.10,,,,60.10,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.09,,,,60.09,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.08,,,,60.08,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.07,,,,60.07,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.06,,,,60.06,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.06,,,,60.06,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.06,,,,60.06,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.06,,,,60.06,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.05,,,,60.05,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.05,,,,60.05,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.04,,,,60.04,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.04,,,,60.04,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.04,,,,60.04,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.04,,,,60.04,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.03,,,,60.03,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.03,,,,60.03,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.03,,,,60.03,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.03,,,,60.03,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.02,,,,60.02,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.02,,,,60.02,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.02,,,,60.02,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.01,,,,60.01,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,60.00,,,,60.00,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.99,,,,59.99,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.98,,,,59.98,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.97,,,,59.97,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.97,,,,59.97,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.97,,,,59.97,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.97,,,,59.97,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.97,,,,59.97,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.96,,,,59.96,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.96,,,,59.96,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.96,,,,59.96,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.95,,,,59.95,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.95,,,,59.95,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.95,,,,59.95,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.94,,,,59.94,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.94,,,,59.94,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.94,,,,59.94,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.93,,,,59.93,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.93,,,,59.93,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.93,,,,59.93,3/13/2024
 03/11/2024,  SOLD (SPLG) (Cash), SPLG,-1,59.87,,,,59.87,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.85,,,,-59.85,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.90,,,,-59.90,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.90,,,,-59.90,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.91,,,,-59.91,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.92,,,,-59.92,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.92,,,,-59.92,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.92,,,,-59.92,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.92,,,,-59.92,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.92,,,,-59.92,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.93,,,,-59.93,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.94,,,,-59.94,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.95,,,,-59.95,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.96,,,,-59.96,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.96,,,,-59.96,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.96,,,,-59.96,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.96,,,,-59.96,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.96,,,,-59.96,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.97,,,,-59.97,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.98,,,,-59.98,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.98,,,,-59.98,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.98,,,,-59.98,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.98,,,,-59.98,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.98,,,,-59.98,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.99,,,,-59.99,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.99,,,,-59.99,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.99,,,,-59.99,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.99,,,,-59.99,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
