Symbol,Status,Trade Description,Order Type,Quantity,TIF,Order Time,Destination
SPLG,"FILLED AT
$60.79",Buy 1 Limit at $60.79  ,Limit at $60.79,1,Day+,"09:01:28 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.80",Buy 1 Limit at $60.80  ,Limit at $60.80,1,Day+,"08:31:47 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.80",Buy 1 Limit at $60.80  ,Limit at $60.80,1,Day+,"08:34:03 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.81",Buy 1 Limit at $60.81  ,Limit at $60.81,1,Day+,"09:10:33 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.81",Buy 1 Limit at $60.81  ,Limit at $60.81,1,Day+,"09:10:17 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.81",Buy 1 Limit at $60.81  ,Limit at $60.81,1,Day+,"08:31:41 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.81",Buy 1 Limit at $60.81  ,Limit at $60.81,1,Day+,"08:37:43 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.81",Buy 1 Limit at $60.81  ,Limit at $60.81,1,Day+,"08:34:09 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.82",Buy 1 Limit at $60.82  ,Limit at $60.82,1,Day+,"08:37:49 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.82",Buy 1 Limit at $60.82  ,Limit at $60.82,1,Day+,"08:31:35 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.82",Buy 1 Limit at $60.82  ,Limit at $60.82,1,Day+,"08:51:50 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.82",Buy 1 Limit at $60.82  ,Limit at $60.82,1,Day+,"08:33:19 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.82",Buy 1 Limit at $60.82  ,Limit at $60.82,1,Day+,"08:34:16 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:35:06 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:33:35 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:37:57 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:31:27 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:34:22 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:40:46 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:31:51 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:52:02 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:52:21 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.83",Buy 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"08:51:20 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:31:21 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:31:13 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:34:28 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:34:55 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:40:51 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:35:13 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:07:52 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:38:03 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:38:10 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:40:36 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.84",Buy 1 Limit at $60.84  ,Limit at $60.84,1,Day+,"08:33:01 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:52:32 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"07:46:29 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"07:46:21 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"07:46:17 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:07:46 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:40:41 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:38:16 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:40:57 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:41:03 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:41:38 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.85",Buy 1 Limit at $60.85  ,Limit at $60.85,1,Day+,"08:35:17 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.86",Buy 1 Limit at $60.86  ,Limit at $60.86,1,Day+,"08:07:39 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.86",Buy 1 Limit at $60.86  ,Limit at $60.86,1,Day+,"08:39:00 AM
03/14/2024",NYSE ARCA
SPLG,"FILLED AT
$60.86",Buy 1 Limit at $60.86  ,Limit at $60.86,1,Day+,"08:41:45 AM
03/14/2024",NYSE ARCA
