Symbol,Status,Trade Description,Order Type,Quantity,TIF,Order Time,Destination
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:23:11 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:00 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:05 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:11 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:18 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:24 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"02:59:29 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:09:47 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:16:23 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:00:11 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:00:16 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:00:34 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:00:40 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:00:47 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:15:35 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:07:27 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:15:31 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:05:17 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:05:21 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:08:51 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:14:09 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:14:05 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:07:42 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:06:03 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:06:07 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:06:12 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:06:18 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:06:25 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:07:14 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:07:18 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:07:23 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:05:10 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:17:22 PM
03/12/2024",NYSE ARCA
SPLG,$60.83 ,Sell 1 Limit at $60.83  ,Limit at $60.83,1,Day+,"03:09:52 PM
03/12/2024",NYSE ARCA
